id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
bmh,stiftunghirschfeld,Bundesstiftung Magnus Hirschfeld,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
aids,stiftungaids,Deutsche AIDS-Stiftung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
yec,economyclub,Young Economy Club e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vph,privatehochschule,Verband der privaten Hochschulen e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
akm,kulturausschuss,Ausschuss Kultur und Medien,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
deneff,initiativeenergie,Deutsche Unternehmensinitiative Energieeffizienz e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bbk,stiftungbau,Bundesstiftung Baukultur,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ffwt,tuebingen,Fakultät für Wirtschaftswissenschaften der Uni Tübingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
lisl,liberalschwul,Liberale Schwule und Lesben Deutschland e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dsw,studentenwerk,Deutsches Studentenwerk e.V. ,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
aub,bildungsausschluss,Ausschuss für Bildung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ebd,bewegung,Europäische Bewegung Deutschland e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
abhia,humanityaction,Advisory Board Humanity in Action e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
botfoe,friendsofeurope,Board of Trustees Friends of Europe,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dfi,insitutdeutschfranz,Deutsch-französisches Insitut e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ua,untersuchungsauschuss,Untersuchungsausschuss Wirecard-Affäre,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
fau,finanzaus,Finanzausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dar,altrat,Der Ältestenrat,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
llp,freshfields,Freshfields Bruckhaus Deringer LLP,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
